Glass Reinforced Plastic - GRP - Fibreglass,Kilogram,100,,,,8.10,,,,,1
Lithium,Kilogram,853,,,,5.30,,,,,22
Mandolite,Kilogram,63,,,,1.40,,,,,1
Mineral Fibre Tile (Roofing),Kilogram,37,,,,2.70,,,,,1
Manganese,Kilogram,52,,,,3.50,,,,,22
Mercury,Kilogram,87,,,,4.94,,,,,22
Molybedenum,Kilogram,378,,,,30.30,,,,,22
Nickel,Kilogram,164,,,,12.40,,,,,114
Perlite - Expanded,Kilogram,10.00,,,,0.52,,,,,114
Perlite - Natural,Kilogram,0.66,,,,0.03,,,,,114
Quartz powder,Kilogram,0.85,,,,0.02,,,,,114
Shingle,Kilogram,11.30,,,,0.30,,,,,70
Silicon,Kilogram,2355,,,,,,,,,167
Slag (GGBS),Kilogram,1.60,,,,0.083,,,,"Ground Granulated Blast Furnace Slag (GGBS), economic allocation.",
Silver,Kilogram,128.20,,,,6.31,,,,,148
Straw,Kilogram,0.24,,,,0.01,,,,,63-201-202-281
Terrazzo Tiles,Kilogram,1.40,,,,0.12,,,,,1
Vanadium,Kilogram,3710,,,,228,,,,,22
Vermiculite - Expanded,Kilogram,7.20,,,,0.52,,,,,114
Vermiculite - Natural,Kilogram,0.72,,,,0.03,,,,,114
Vicuclad,Kilogram,70.00,,,,,,,,,1
Water,Kilogram,0.01,,,,0.001,,,,,
Wax,Kilogram,52.00,,,,,,,,,169
Wood stain/Varnish,Kilogram,50.00,,,,5.35,,,,,1
Yttrium,Kilogram,1470,,,,84.00,,,,,22
Zirconium,Kilogram,1610,,,,97.20,,,,,22
Paint,Kilogram,70.00,,,,2.42,2.91,,,"Large variations in data, especially for embodied carbon. Includes feedstock energy. Water based paints have a 70% market share.  Water based paint has a lower embodied energy than solvent based paint.",
EXAMPLE: Single Coat,qudt:SquareMeter,10.50,,,,0.36,0.44,,,Assuming 6.66 qudt:SquareMeter Coverage per kg,
EXAMPLE: Double Coat,qudt:SquareMeter,21.00,,,,0.73,0.87,,,Assuming 3.33 qudt:SquareMeter Coverage per kg,
EXAMPLE: Triple Coat,qudt:SquareMeter,31.50,,,,1.09,1.31,,,Assuming 2.22 qudt:SquareMeter Coverage per kg,
Waterborne Paint,Kilogram,59.00,,,,2.12,2.54,,,Waterborne paint has a 70% of market share. Includes feedstock energy. ,
Solventborne Paint,Kilogram,97.00,,,,3.13,3.76,,,Solventborne paint has a 30% share of the market. Includes feedstock energy.  It was  difficult to estimate carbon emissions for Solventborne paint.,
 Paperboard (General for construction use),Kilogram,24.80,,,,1.29,,,,"Excluding calorific value  of wood, excludes carbon sequestration/biogenic carbon storage.",
Fine Paper,Kilogram,28.20,,,,1.49,,,,"Excluding CV of wood, excludes carbon sequestration",
     EXAMPLE: 1 packet A4 paper,Kilogram,70.50,,,,3.73,,,,"Standard 80g/qudt:SquareMeter printing paper, 500 sheets a pack. Doesn't include printing.",
Wallpaper,Kilogram,36.40,,,,1.93,,,,,
Paster (Gypsum),Kilogram,1.80,,,,0.12,0.13,,,"Problems selecting good value, inconsistent figures, West et al believe this is because of past aggregation of EE with cement",
Plasterboard,Kilogram,6.75,,,,0.38,0.39,,,"See Ref [WRAP] for further info on GWP data, including disposal impacts which are significant for Plasterboard.",
Plastic,Kilogram,80.50,,,,2.73,3.31,,,35.6 MJ/kg Feedstock Energy  (Included). Determined by the average use of each type of plastic used in the European construction industry.,
ABS,Kilogram,95.30,,,,3.05,3.76,,,48.6 MJ/kg Feedstock Energy  (Included),
General Polyethylene,Kilogram,83.10,,,,2.04,2.54,,,54.4 MJ/kg Feedstock Energy  (Included). Based on average consumption of types of polyethylene in European construction,
High Density Polyethylene (HDPE) Resin,Kilogram,76.70,,,,1.57,1.93,,,54.3 MJ/kg Feedstock Energy  (Included). Doesn’t include the final fabrication.,
HDPE Pipe,Kilogram,84.40,,,,2.02,2.52,,,55.1 MJ/kg Feedstock Energy  (Included),
Low Density Polyethylene (LDPE) Resin,Kilogram,78.10,,,,1.69,2.08,,,51.6 MJ/kg Feedstock Energy  (Included). Doesn't include the final fabrication,
LDPE Film,Kilogram,89.30,,,,2.13,2.60,,,55.2 MJ/kg Feedstock Energy (Included),
